nest,site,trt,layorder,removed,year,date,clutch_size,tray_entered,supp_days,num_supp_day,time,length,width,mass
M34-22,N,C,1,Y,2022,6/24/2022,6,,,,12:54,15.20,12.80,1.36
M34-22,N,C,2,Y,2022,6/25/2022,6,,,,13:28,15.05,13.00,1.38
M34-22,N,C,3,N,2022,6/26/2022,6,,,,15:24,15.43,13.15,1.43
M34-22,N,C,4,N,2022,6/27/2022,6,,,,11:25,15.45,13.20,1.45
M34-22,N,C,5,N,2022,6/28/2022,6,,,,10:44,15.20,13.32,1.55
M34-22,N,C,6,Y,2022,6/29/2022,6,,,,12:14,15.90,13.40,1.53
M35-22,N,T,1,Y,2022,5/28/2022,6,5/27/2022,2,2,11:27,15.75,12.50,1.33
M35-22,N,T,2,N,2022,5/29/2022,6,5/27/2022,3,2,10:47,15.85,12.60,1.33
M35-22,N,T,3,Y,2022,5/30/2022,6,5/27/2022,4,2,9:57,16.00,12.45,1.34
M35-22,N,T,4,N,2022,5/31/2022,6,5/27/2022,5,2,15:06,16.40,12.57,1.40
M35-22,N,T,5,Y,2022,6/1/2022,6,5/27/2022,6,2,11:08,16.35,12.47,1.36
M35-22,N,T,6,N,2022,6/2/2022,6,5/27/2022,7,2,11:05,16.65,12.50,1.38
M3B,N,T,1,Y,2022,6/15/2022,6,6/13/2022,3,3,10:44,16.70,12.70,1.46
M3B,N,T,2,N,2022,6/16/2022,6,6/13/2022,4,3,10:13,16.77,12.80,1.46
M3B,N,T,3,Y,2022,6/17/2022,6,6/13/2022,5,3,10:14,16.60,12.85,1.46
M3B,N,T,4,N,2022,6/18/2022,6,6/13/2022,6,3,10:15,16.80,12.90,1.55
M3B,N,T,5,Y,2022,6/19/2022,6,6/13/2022,7,3,9:52,17.15,12.95,1.56
M3B,N,T,6,N,2022,6/20/2022,6,6/13/2022,8,3,10:27,17.10,13.05,1.58
C19B,U,C,1,N,2022,6/23/2022,6,,,,14:05,16.65,12.95,1.44
