Sample,nest,site,trt,layorder,year,date,time,plate,plate_T4,clutch_size,egg_mass,yolk_mass,cort,test,t4
157,M18,N,C,3,2020,5/6/20,10:21,4,3,7,1.37,0.3526,3.06,5.282,3.917
158,M8-20,N,T,3,2020,6/19/20,9:59,5,3,5,1.29,0.2897,2.976,3.465,1.499
159,M17-21,N,C,4,2021,5/13/21,8:33,5,3,7,1.4205,0.2973,4.4,5.576,2.042
160,A74,R,C,4,2020,5/29/20,10:11,5,3,7,1.5,0.2668,3.545,11.215,1.421
161,M27,N,C,5,2020,6/5/20,11:28,5,3,6,1.4,0.326,3.074,2.752,1.709
162,M32-20,N,C,6,2020,5/17/20,10:07,5,3,7,1.25,0.2696,3.299,2.082,6.513
163,M30-21,N,C,3,2021,6/7/21,13:48,5,3,6,1.4862,0.3104,2.65,3.471,1.983
164,A90,R,C,3,2020,5/4/20,9:38,5,3,8,1.37,0.2196,6.894,13.743,2.513
165,M2,N,C,2,2020,5/11/20,13:06,5,3,6,1.43,0.3126,4.786,6.115,5.665
166,M20-22,N,T,6,2022,5/7/22,8:32,5,3,7,1.4031,0.2764,5.289,4.992,2.207
167,A95,R,T,5,2020,5/12/20,9:27,5,3,7,1.48,0.3115,3.746,6.963,0.714
168,C23-21,U,T,3,2021,6/9/21,10:16,5,3,7,1.4373,0.2719,4.491,3.64,1.315
169,M9,N,C,2,2020,5/4/20,10:53,5,3,7,1.41,0.329,3.492,6.393,3.924
170,A49,R,C,3,2021,5/15/21,11:35,5,3,8,1.4657,0.266,4.571,6.715,2.422
171,M16,N,T,4,2021,5/23/21,8:27,5,3,7,1.5129,0.3042,2.845,6.454,4.987
172,M11-21,N,T,3,2021,5/16/21,11:26,5,3,8,1.2274,0.2706,4.313,5.795,5.695
173,A92-20,R,C,3,2020,5/27/20,9:29,5,3,8,1.37,0.2343,6.026,11.634,2.947
174,C18,U,C,3,2021,5/19/21,10:11,5,3,6,1.4477,0.2572,4.837,12.527,1.833
175,A94,R,C,3,2020,5/14/20,11:16,5,3,6,1.52,0.2725,5.182,10.084,2.045
176,M24-22,N,T,4,2022,5/28/22,11:14,5,3,7,1.4401,0.3043,2.527,4.404,1.147
177,C21,U,C,4,2020,5/17/20,10:57,5,3,7,1.53,0.2207,5.406,11.314,1.628
178,M16,N,T,2,2021,5/21/21,10:11,5,3,7,1.5445,0.2889,4.008,7.169,5.777
