sample_ID,nest,site,trt,ID,date ,year,time,brood_size,bleed_time,plate,cort,mass
122,M28-22,N,C,7686,7/5/22,2022,9:30,3,63,3,0.04528,10.48
123,M1,N,C,7517,6/11/20,2020,9:43,4,44,3,0.02056,11.12
124,C22,U,T,7506,6/9/20,2020,9:24,3,122,3,0.4796,10.32
125,M34-22,N,C,47008,7/23/22,2022,9:05,3,210,3,3.218,10.74
126,M28-20,N,T,7541,6/16/20,2020,9:16,6,180,3,3.104,10.12
127,M12,N,T,7530,6/15/20,2020,9:17,4,230,3,0.7466,10.98
128,M10-20,N,C,7570,7/5/20,2020,9:42,2,145,3,5.676,10.33
129,M3-22,N,C,7650,6/3/22,2022,10:10,5,164,3,4.962,11.05
130,A92b,R,T,7698,7/17/22,2022,9:28,4,239,3,0.2392,10.75
131,M26,N,T,7684,7/5/22,2022,9:18,3,68,3,4.24,10.99
132,M17-21,N,C,7593,6/10/21,2021,9:01,3,97,3,5.394,9.7
133,M2,N,C,7511,6/10/20,2020,9:45,2,142,3,1.8378,9.45
134,A87,R,C,7577,7/14/20,2020,10:35,3,120,3,4.93,9.73
135,M1,N,C,7515,6/11/20,2020,9:43,4,150,3,0.6156,10.25
136,M3b,N,T,7693,7/15/22,2022,9:10,2,85,3,0.604,9.48
137,M3-20,N,T,7513,6/11/20,2020,10:51,2,120,3,1.206,9.82
138,M10-22,N,C,7690,7/9/22,2022,9:20,2,133,3,4.354,11.13
139,M3-22,N,C,7651,6/3/22,2022,10:10,5,65,3,3.806,11.17
140,C23-20,U,C,7584,7/19/20,2020,9:17,3,172,3,9.298,9.47
141,M35-22,N,T,7678,6/27/22,2022,9:50,2,180,3,4.772,10.34
142,M35-21,N,T,7617,6/25/21,2021,9:12,4,180,3,2.454,11.61
143,M32-20,N,C,7564,7/3/20,2020,10:42,3,306,3,0.04528,11.25
144,C22,U,T,7507,6/9/20,2020,9:24,3,75,3,5.934,9.86
145,M34-20,N,T,7519,6/11/20,2020,10:09,7,145,3,4.772,10.12
146,M11-22,N,C,7680,7/1/22,2022,9:20,3,270,3,1.7384,11.32
147,C23-21,U,T,7631,7/8/21,2021,9:10,4,180,3,1.94,10.27
148,M26,N,T,7682,7/5/22,2022,9:18,3,165,3,0.2196,11.33
149,M1,N,C,7518,6/11/20,2020,9:43,4,86,3,0.6272,9.9
150,M9,N,C,7879,6/2/20,2020,9:53,3,112,3,1.164,9.6
151,A92,R,C,7659,6/7/22,2022,10:25,3,91,3,7.782,9.18
152,M14,N,T,7503,6/8/20,2020,10:20,2,140,3,0.4578,9.5
153,M18,N,C,7883,6/4/20,2020,9:57,4,180,3,3.264,11.39
154,C33,U,C,7670,6/21/22,2022,9:11,2,90,3,9.064,9.53
155,M8-21,N,C,7595,6/10/21,2021,9:28,3,150,3,4.412,10.99
156,C19-22,U,T,7666,6/13/22,2022,9:04,3,106,3,0.8584,9.95
157,M32-22,N,T,47002,7/21/22,2022,9:47,3,240,3,0.6156,9.67
158,M28-22,N,C,7687,7/5/22,2022,9:30,3,180,3,2.842,10.63
159,C35,U,T,7547,6/17/20,2020,9:31,3,208,3,1.9228,11.14
160,M34-22,N,C,47010,7/23/22,2022,9:05,3,137,3,0.4252,11.04
161,M15,N,C,7892,6/6/20,2020,10:01,4,174,3,2.862,9.61
162,C23-21,U,T,7629,7/8/21,2021,9:10,4,210,3,1.3062,10.2
163,M5,N,T,7509,6/10/20,2020,9:32,1,120,3,0.0369,9.52
164,M20-20,N,C,7888,6/6/20,2020,9:37,4,150,3,3.992,10.04
165,M8-20,N,T,7580,7/16/20,2020,10:41,2,210,3,1.2774,10.58
166,C19b,U,C,7699,7/18/22,2022,9:10,4,195,3,3.992,9.18
167,M18,N,C,7886,6/4/20,2020,9:57,4,146,3,1.6734,10
168,M20-20,N,C,7889,6/6/20,2020,9:37,4,240,3,0.7466,9.88
169,M8-21,N,C,7594,6/10/21,2021,9:28,3,215,3,1.2774,10.1
170,C23-21,U,T,7630,7/8/21,2021,9:10,4,150,3,2.208,9.66
171,A93,R,T,7633,7/17/21,2021,9:25,2,180,3,1.5938,10.51
172,A84,R,T,7639,8/1/21,2021,9:11,2,150,3,0.4686,10.33
173,C33,U,C,7669,6/21/22,2022,9:11,2,170,3,5.604,9.05
